Rounded_Time,KNN2,KNN3,KNN4,KNN5,payload.activityCount,Distance_moved,ActivityCount_Difference
2023-01-21 22:00:00+00:00,7.195421549440062,7.444669986825503,16.789316949883805,56.97146496604275,333.0,,
2023-01-21 23:00:00+00:00,7.444667338876362,13.469360941761671,24.153066354995083,30.95211793118733,528.0,26.536329678972084,195.0
2023-01-22 00:00:00+00:00,425.7685678417656,580.3697814250223,718.1255870710836,721.3151166350557,1346.0,715.1712185501831,818.0
2023-01-22 01:00:00+00:00,294.3836299355132,357.8558012011869,431.602529843152,505.951717829074,1992.0,500.02088369568014,646.0
2023-01-22 02:00:00+00:00,91.09100972759784,91.76101186096348,197.1685418397032,327.6569869467067,2528.0,130.33556253100326,536.0
2023-01-22 03:00:00+00:00,22.009149270149493,38.9000284476004,614.7221106656391,617.2483284093996,2756.0,105.0114275614276,228.0
2023-01-22 04:00:00+00:00,24.403349953971727,54.31850878316269,832.3615210935429,1492.0172604960246,2760.0,12.32441573188631,4.0
2023-01-22 05:00:00+00:00,17.02726233076635,54.3185028537952,861.0075216666602,877.7576585832179,2768.0,7.73736345810163,8.0
2023-01-22 06:00:00+00:00,62.36030226068614,114.09084196645703,926.0700162592336,1491.8769010724595,3066.0,80.90594765046613,298.0
2023-01-22 07:00:00+00:00,106.979337886387,185.56227513035807,259.5984016298119,761.9793695437833,3438.0,186.2131492787328,372.0
2023-01-22 08:00:00+00:00,98.4920530285876,277.5112684707725,298.39789333621303,650.0764267252953,3908.0,163.2800406795426,470.0
2023-01-22 09:00:00+00:00,91.17743253157236,292.18139294137416,304.7940945915018,624.0668568974659,3971.0,40.94397333058672,63.0
2023-01-22 10:00:00+00:00,102.1637300272816,291.3710465324034,297.87600146921034,624.4759965535628,3973.0,9.794593319744791,2.0
2023-01-22 11:00:00+00:00,167.22650247363475,282.6661004149653,289.38960622927044,627.5939295763129,3992.0,2.8465940543410944,19.0
2023-01-22 12:00:00+00:00,41.68362363011232,136.9961523062361,167.380736480787,752.8029171926663,4101.0,117.5482270246966,109.0
2023-01-22 13:00:00+00:00,17.247118600546244,133.9346462616088,136.62197788478005,783.6938412944025,4164.0,34.272318789030486,63.0
2023-01-22 14:00:00+00:00,40.13992263131823,139.273006689702,141.99428950420673,782.1556724351794,4204.0,31.312534593508094,40.0
2023-01-22 15:00:00+00:00,116.37622526465056,148.6852221714873,186.90052844491748,964.1602871551931,4866.0,331.0925344447295,662.0
2023-01-22 16:00:00+00:00,202.4980107935581,218.6691318815625,228.98686279844063,726.2776006936123,5312.0,231.38509140272384,446.0
2023-01-22 17:00:00+00:00,128.29864735619145,208.79094164446892,324.8598749265017,339.2876382549539,5912.0,429.165919377937,600.0
2023-01-22 18:00:00+00:00,18.350638366165366,22.01043686299701,177.8321901703681,202.07098300019197,6301.0,332.42731674127646,389.0
2023-01-22 19:00:00+00:00,9.79482750080088,11.155961754493388,11.386376216657052,14.669704555239452,6322.0,11.636247389046948,21.0
2023-01-22 20:00:00+00:00,7.195425659433226,14.72225664208352,21.002379179393174,28.92212419551219,6440.0,26.550302419916093,118.0
2023-01-22 21:00:00+00:00,7.738039991961887,7.738039993070256,28.73543883820264,29.37720781933991,6795.0,3.72233565563469,355.0
2023-01-22 22:00:00+00:00,11.167002993971144,12.355576496441367,22.11548542371717,23.2141027786788,7100.0,25.856225503584454,305.0
2023-01-22 23:00:00+00:00,26.5363746280538,33.062460253288826,50.36802277798463,53.45309900053579,7407.0,54.166266573001,307.0
2023-01-23 00:00:00+00:00,436.7586348883647,439.45672949519394,656.8726462977851,717.3583072362136,8290.0,1263.3441663163946,883.0
2023-01-23 01:00:00+00:00,223.89253283038605,354.85863770851154,425.6358904165911,507.6254122022529,9016.0,661.1682107430192,726.0
2023-01-23 02:00:00+00:00,60.23035566778768,71.80859779237801,99.21975497146262,137.37501578137173,9350.0,332.83381942659463,334.0
2023-01-23 03:00:00+00:00,64.850500894264,119.9595292325915,238.9698490563393,247.35571061690808,9631.0,190.1701143202732,281.0
2023-01-23 04:00:00+00:00,86.22727526085528,121.30462021723942,236.25899361825117,246.72314205617727,9638.0,11.15576617354002,7.0
2023-01-23 05:00:00+00:00,24.404871512555,93.6136954174097,224.92607221270032,227.72232893894272,9641.0,15.019559604486169,3.0
2023-01-23 07:00:00+00:00,76.89545305580342,91.12258019526531,118.30288484305606,201.10370468344155,9987.0,66.56087918459635,346.0
2023-01-23 08:00:00+00:00,48.39040368742132,53.07289159499482,71.84945562793555,82.12250211138878,10385.0,340.14478729501883,398.0
2023-01-23 09:00:00+00:00,39.70545914326299,40.49669318494704,49.33396168183802,57.632375206698725,10459.0,40.572598988009936,74.0
2023-01-23 10:00:00+00:00,30.03921240889565,32.12864570949195,39.92442785160951,47.764982138310856,10467.0,11.167037421919298,8.0
2023-01-23 11:00:00+00:00,18.533391073129977,21.185534443873397,26.064575098050607,34.329119520589146,10474.0,8.870211374923155,7.0
2023-01-23 12:00:00+00:00,31.896863816412218,34.24323079425181,39.44303719072949,43.30094797890043,10481.0,11.167041394255593,7.0
2023-01-23 13:00:00+00:00,36.203115015196005,37.31534046444048,40.99087291227678,43.30094729663956,10491.0,5.693188107974865,10.0
2023-01-23 14:00:00+00:00,28.922369595277047,37.67305022590733,39.82574137351017,40.93032771554301,10721.0,35.00643845763053,230.0
2023-01-23 15:00:00+00:00,169.42951454076422,215.92329138753607,265.37060082883386,291.14838425130324,11315.0,569.7153360784164,594.0
