Rounded_Time,KNN2,KNN3,KNN4,KNN5,payload.activityCount,Distance_moved,ActivityCount_Difference
2023-02-11 01:00:00+00:00,42.23562710787003,68.05361828338246,85.1177042150899,90.91555633269176,126356,,
2023-02-11 02:00:00+00:00,26.534464129766707,38.79286666356007,55.28913146167955,95.47475178531128,127295,1509.722166,939.0
2023-02-11 03:00:00+00:00,14.8885524643473,62.42729472645376,72.22139015853736,87.03217530743169,127934,766.6869672,639.0
2023-02-11 04:00:00+00:00,62.49439116321324,97.97141449732815,130.54060995117277,151.80541329845843,128534,468.9173035,600.0
2023-02-11 05:00:00+00:00,28.566777180718272,42.2320354788799,57.564834844358565,63.79168395738585,128848,188.3225349,314.0
2023-02-11 06:00:00+00:00,29.374865465149966,31.677733396285152,64.90881553392215,64.90881553392215,128863,6.177653133,15.0
2023-02-11 07:00:00+00:00,34.90852484641406,37.06591719943774,69.72544220604667,72.40499097946521,128866,13.46880539,3.0
2023-02-11 08:00:00+00:00,8.870110233241364,8.870110789030369,24.40242816063429,28.286482144820823,129115,46.87822381,249.0
2023-02-11 09:00:00+00:00,31.312534593508094,40.49647042861376,68.56106807954181,77.24883227417429,129403,199.3192972,288.0
2023-02-11 10:00:00+00:00,30.946919117893533,43.17931019541578,140.90374368936233,236.24884039881667,129962,345.0134254,559.0
2023-02-11 11:00:00+00:00,12.323549020048604,13.46868679440235,23.255511108801155,44.64155470197492,130418,244.7897931,456.0
2023-02-11 12:00:00+00:00,25.455744547175765,26.05443987970648,43.24339130600157,46.96421472799252,130425,10.00568705,7.0
2023-02-11 13:00:00+00:00,10.00568441855933,14.66721233795473,36.20239222141414,58.64424775376644,130434,11.9902727,9.0
2023-02-11 14:00:00+00:00,2.8465940543410944,19.394467750239382,56.501310243756045,83.1793391824963,130468,7.444127887,34.0
2023-02-11 15:00:00+00:00,79.64080656458182,102.58956280548432,105.35127766548564,108.27685288386851,130939,274.2253284,471.0
2023-02-11 16:00:00+00:00,71.99131228882639,76.74160463630795,95.6880712197478,108.05069317010285,131488,340.7092847,549.0
2023-02-11 17:00:00+00:00,68.48642397040489,120.8027546588629,127.58602766556253,133.61128927827065,132036,559.4754558,548.0
2023-02-11 18:00:00+00:00,42.96749035051721,62.75396513988585,95.79659836426454,130.5206317805288,132647,596.1568902,611.0
2023-02-11 19:00:00+00:00,14.433645455879606,14.889338207914651,16.5368220510923,17.72832178935651,132975,556.5540957,328.0
2023-02-11 20:00:00+00:00,6.177789578691653,6.177789578691653,11.636247105277652,14.722270594390416,133106,19.5896503,131.0
2023-02-11 21:00:00+00:00,8.870207484620789,8.870207484620789,16.536839438868245,22.31193293462223,133181,25.85625639,75.0
2023-02-11 22:00:00+00:00,2.3984738498134006,7.444669986057474,21.586264650700336,21.77314369118602,133215,27.35679038,34.0
2023-02-11 23:00:00+00:00,11.636247246224508,12.844091327312384,13.275145020898826,18.350648034581848,133222,5.577975576,7.0
2023-02-12 00:00:00+00:00,4.79695043962221,6.1777890461504255,7.195425660625177,11.16700431778846,133427,28.9221242,205.0
2023-02-12 01:00:00+00:00,20.239449128450563,21.771169268859012,25.736905591575468,93.22509643598303,134240,955.1264374,813.0
2023-02-12 02:00:00+00:00,20.495203151659123,28.730601925486894,36.96984693078383,44.18472375415744,135182,1251.870309,942.0
2023-02-12 03:00:00+00:00,8.539782162315959,50.910695017704064,67.2047566926632,71.05621674644935,135709,436.5785253,527.0
2023-02-12 04:00:00+00:00,11.990142496684925,18.8335905053352,23.947599625730827,27.35615705215369,136110,197.0130651,401.0
2023-02-12 05:00:00+00:00,3.7220473875302833,6.177615358965736,6.177615359428341,9.174268244940135,136116,14.66705503,6.0
2023-02-12 06:00:00+00:00,13.273121095381596,14.38816688511022,14.38816688511022,14.433571572124764,136135,2.398027814,19.0
2023-02-12 07:00:00+00:00,56.98236198917466,60.20980448399295,65.47166324064996,68.36033046340111,136359,67.58929773,224.0
2023-02-12 08:00:00+00:00,76.76276885318838,82.93979337687836,93.61287220246795,95.52830476401564,136760,158.0432387,401.0
2023-02-12 09:00:00+00:00,32.00613323872971,34.32712522983363,55.11465843149889,58.76641031889385,137133,91.3035351,373.0
2023-02-12 10:00:00+00:00,15.47362014489228,49.33360782913707,73.70532819500762,81.98090177230986,137353,90.00423641,220.0
2023-02-12 11:00:00+00:00,5.577226109880329,14.888220453670735,22.320628260250004,44.664682554937386,137359,14.43357282,6.0
2023-02-12 12:00:00+00:00,20.9991743389016,24.401784482009656,53.3260596741111,55.83084325828492,137368,16.73167479,9.0
2023-02-12 13:00:00+00:00,20.283691736846823,33.49849005891179,35.001950072744144,72.28735364909798,137374,10.00561609,6.0
2023-02-12 14:00:00+00:00,12.842813994220602,45.37606215343962,61.25792049079018,70.02271407365004,137564,114.9241518,190.0
2023-02-12 15:00:00+00:00,46.96666519166317,72.28919045671708,133.91148513575135,166.39441187753215,138198,627.3225539,634.0
2023-02-12 16:00:00+00:00,51.294788803231135,80.96502454892835,136.85840969706803,196.3197036046307,138632,370.0649981,434.0
2023-02-12 17:00:00+00:00,21.77224516942148,96.10367922137743,122.4331305365581,124.99795397481624,139129,531.0674989,497.0
2023-02-12 18:00:00+00:00,15.47607425293847,21.58626465189229,39.44292472615003,45.87663620679572,139766,809.6597963,637.0
2023-02-12 19:00:00+00:00,14.722239905337116,22.1154794811744,22.333996720544175,27.525938212996955,139786,20.06998886,20.0
2023-02-12 20:00:00+00:00,15.019591547172944,17.164503861394078,20.286212188472067,25.731373706094587,139798,12.8440811,12.0
